,ID,Type,SKU,Parent,Name,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Position,Short description,Description,Categories,Sale price,Regular price,Tiered pricing type,Tiered pricing minimum product quantity,Fixed Tiered Prices,Percentage Tiered Prices,Supplier Id,Supplier Name,Supplier Slug,Supplier Description,Supplier Email,Supplier Account Number,Published,Is featured?,Visibility in catalog,Shipping class,Images,Upsells,Cross-sells,Tags,Tax class,Tax status,In stock?,Stock,Low stock amount,Attribute 2 name,Attribute 2 global,Attribute 2 visible,Attribute 2 value(s),Attribute 3 name,Attribute 3 global,Attribute 3 visible,Attribute 3 value(s),Attribute 4 name,Attribute 4 global,Attribute 4 visible,Attribute 4 value(s),Attribute 5 name,Attribute 5 global,Attribute 5 visible,Attribute 5 value(s),Attribute 6 name,Attribute 6 global,Attribute 6 visible,Attribute 6 value(s)
0,1,variable,100638010000 ,,Bambus-Küchenrolle (Einweg),Versandeinheit,Paket,1,1,,0,"Bambus-Küchenrolle (Einweg) 2-lagig / 85 Blatt , Anzahl pro Verp. = 2 Stück , Umverpackung/ VE = braune Tüte 2 Stück , VE je Karton = 20 , Kartons auf Palette = 12 ","Unsere Mehrzweck-Haushaltstücher sind viel saugfähiger als herkömmliches Küchenpapier. Die umweltfreundlichen Papierhandtücher werden zu 100% aus nachhaltigem Bambus hergestellt, was ihnen eine höhere Festigkeit und Haltbarkeit verleiht. Diese umweltfreundlichen Küchentücher sind für alle Arten von Oberflächen geeignet und eignen sich perfekt zum Aufwischen von verschütteten Flüssigkeiten, Abwischen von Oberflächen und Polieren von Möbeln.
Lieferumfang:2 Rollen jeweils mit 85 Tüchern
Material:100% Bambus
Größe:Tuch: 225 x 215 mm",biomondi in der Küche,,3.59,fixed,1,"40:3.59,80:3.43,120:3.24,160:3.20,200:3.15,240:3.10,280:3.01,320:2.96,360:2.91,400:2.87,",,,,,,,,1,0,visible,,https://biomondi.de/cdn/shop/files/48411-Recovered111_1.jpg?v=1689588230,,,,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,2-lagig / 85 Blatt,Farben,1,1,Natur
1,2,variation,100638010000-PAL ,100638010000,Bambus-Küchenrolle (Einweg),Versandeinheit,Palette,,1,,1,"Bambus-Küchenrolle (Einweg) 2-lagig / 85 Blatt , Anzahl pro Verp. = 2 Stück , Umverpackung/ VE = braune Tüte 2 Stück , VE je Karton = 20 , Kartons auf Palette = 12 ","Unsere Mehrzweck-Haushaltstücher sind viel saugfähiger als herkömmliches Küchenpapier. Die umweltfreundlichen Papierhandtücher werden zu 100% aus nachhaltigem Bambus hergestellt, was ihnen eine höhere Festigkeit und Haltbarkeit verleiht. Diese umweltfreundlichen Küchentücher sind für alle Arten von Oberflächen geeignet und eignen sich perfekt zum Aufwischen von verschütteten Flüssigkeiten, Abwischen von Oberflächen und Polieren von Möbeln.
Lieferumfang:2 Rollen jeweils mit 85 Tüchern
Material:100% Bambus
Größe:Tuch: 225 x 215 mm",biomondi in der Küche,,2.82,fixed,1,"480:2.82, 960:2.80, 1440:2.77, 1920:2.75, 2400:2.73, 2880:2.70, 3360:2.68, 3840:2.66, 4320:2.63, 4800:2.59, ",,,,,,,,1,0,visible,,https://biomondi.de/cdn/shop/files/48411-Recovered111_1.jpg?v=1689588230,,,,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,2-lagig / 85 Blatt,Farben,1,1,Natur
2,3,variable,100641010000 ,,Bambus-Küchenrolle (Mehrweg),Versandeinheit,Paket,1,1,,0,"Bambus-Küchenrolle (Mehrweg) Wiederverwendbar/ 20 Tücher , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 46 , Kartons auf Palette
 = 12 ","Eine Bambus-Küchenrolle ist die umweltfreundliche Wahl für Ihr Zuhause und Ihren Arbeitsplatz. Unsere Küchentücher sind sehr saugfähig, trocknen schnell und sind reißfester als herkömmliche Tücher, außerdem sind sie waschbar und wiederverwendbar. Sie eignen sich auch für die Reinigung von Oberflächen im Haushalt, beim Camping und bei Outdoor-Aktivitäten. Eine Bambus-Küchenrolle ersetzt bis zu 60 Haushaltsrollen!
Lieferumfang:1 Rolle mit 20 Tüchern
Materialzusammensetzung:82% Bambus-Viskose und 18% Polyester





Flächengewicht:






ca. 110-120 g / m2










Größe:Höhe: 29 cmTuch: 30 cm x 29 cm










Entsorgung:Die Küchentücher im Restmüll entsorgen.Papprolle im Altpapier-Müll entsorgen.










Verpackung:Braunes Papier im Altpapier Müll entsorgen.Weißes Papier im Restmüll entsorgen.








Anwendung:Die waschbaren Bambustücher von biomondi sind vielseitig einsetzbar: Zum Abtrocknen, Aufwischen von ausgelaufenen Flüssigkeiten in der Küche oder zum Staubwischen und Polieren im Haushalt.




Gebrauchshinweise:Grobe Verschmutzungen unter dem Wasserhahn entfernen und dann bei max. 40°C in der Waschmaschine ohne Weichspüler waschen.
Nicht bügeln. Nicht für den Trockner geeignet.",biomondi in der Küche,,7.47,fixed,1,"23:7.47, 46:7.16, 69:6.96, 92:6.85, 115:6.75, 138:6.65, 161:6.45, 184:6.35, 207:6.25, 230:6.15, ",,,,,,,,1,0,visible,,https://biomondi.de/cdn/shop/files/new_1.jpg?v=1689588406,,,Bambus|Brot|Deko|Einweggeschirr|Garten|Gemüse|Geschirr|Grillen|Ideen|Küche|Obst|Party|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,Wiederverwendbar/ 20 Tücher,Farben,1,1,Natur
3,4,variation,100641010000-PAL ,100641010000,Bambus-Küchenrolle (Mehrweg),Versandeinheit,Palette,,1,,1,"Bambus-Küchenrolle (Mehrweg) Wiederverwendbar/ 20 Tücher , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 46 , Kartons auf Palette
 = 12 ","Eine Bambus-Küchenrolle ist die umweltfreundliche Wahl für Ihr Zuhause und Ihren Arbeitsplatz. Unsere Küchentücher sind sehr saugfähig, trocknen schnell und sind reißfester als herkömmliche Tücher, außerdem sind sie waschbar und wiederverwendbar. Sie eignen sich auch für die Reinigung von Oberflächen im Haushalt, beim Camping und bei Outdoor-Aktivitäten. Eine Bambus-Küchenrolle ersetzt bis zu 60 Haushaltsrollen!
Lieferumfang:1 Rolle mit 20 Tüchern
Materialzusammensetzung:82% Bambus-Viskose und 18% Polyester





Flächengewicht:






ca. 110-120 g / m2










Größe:Höhe: 29 cmTuch: 30 cm x 29 cm










Entsorgung:Die Küchentücher im Restmüll entsorgen.Papprolle im Altpapier-Müll entsorgen.










Verpackung:Braunes Papier im Altpapier Müll entsorgen.Weißes Papier im Restmüll entsorgen.








Anwendung:Die waschbaren Bambustücher von biomondi sind vielseitig einsetzbar: Zum Abtrocknen, Aufwischen von ausgelaufenen Flüssigkeiten in der Küche oder zum Staubwischen und Polieren im Haushalt.




Gebrauchshinweise:Grobe Verschmutzungen unter dem Wasserhahn entfernen und dann bei max. 40°C in der Waschmaschine ohne Weichspüler waschen.
Nicht bügeln. Nicht für den Trockner geeignet.",biomondi in der Küche,,6.05,fixed,1,"276:6.05, 552:6.00, 828:5.95, 1104:5.90, 1380:5.85, 1656:5.80, 1932:5.75, 2208:5.70, 2484:5.64, 2760:5.54, ",,,,,,,,1,0,visible,,https://biomondi.de/cdn/shop/files/new_1.jpg?v=1689588406,,,Bambus|Brot|Deko|Einweggeschirr|Garten|Gemüse|Geschirr|Grillen|Ideen|Küche|Obst|Party|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,Wiederverwendbar/ 20 Tücher,Farben,1,1,Natur
4,5,variable,100640010000 ,,Bambus-Servietten,Versandeinheit,Paket,1,1,,0,"Bambus-Servietten 2-lagig / 100 Blatt , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = braune Tüte 100 Stück , VE je Karton = 28 , Kartons auf Palette
 = 12 ","Die Biomondi-Servietten sind saugfähiger und reißfester als herkömmliche Küchentücher und bestehen zu 100% aus Bambus, das auf geschickte Weise ein angenehmes Ambiente in jeder Küche schafft. Sie sind für alle Arten von Oberflächen und Zwecke geeignet. Mit dem Kauf dieser Servietten schützen Sie die Umwelt, indem Sie etwas Einfaches tun: Es wurden keine chemischen Farbstoffe verwendet, um ihre natürliche weiße Farbe zu färben, was besonders für Familien mit kleinen Kindern wichtig ist.
Lieferumfang:100 Tüchern
Material:100% Bambus
Größe:330 mm x 300 mm





Verpackung:Braunes Papier im Altpapier Müll entsorgen.




",biomondi in der Küche,,3.67,fixed,1,"28:3.67,56:3.46,84:3.32,112:3.20,140:3.15,168:3.10,196:3.01,224:2.96,252:2.91,280:2.87,",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/Servietten.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Servietten.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Servietten_2.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Servietten_3.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/884019b12edd4cd3b392696151c7c660.thumbnail.0000000.jpg?v=1649373152",,,,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,2-lagig / 100 Blatt,Farben,1,1,Natur
5,6,variation,100640010000-PAL ,100640010000,Bambus-Servietten,Versandeinheit,Palette,,1,,1,"Bambus-Servietten 2-lagig / 100 Blatt , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = braune Tüte 100 Stück , VE je Karton = 28 , Kartons auf Palette
 = 12 ","Die Biomondi-Servietten sind saugfähiger und reißfester als herkömmliche Küchentücher und bestehen zu 100% aus Bambus, das auf geschickte Weise ein angenehmes Ambiente in jeder Küche schafft. Sie sind für alle Arten von Oberflächen und Zwecke geeignet. Mit dem Kauf dieser Servietten schützen Sie die Umwelt, indem Sie etwas Einfaches tun: Es wurden keine chemischen Farbstoffe verwendet, um ihre natürliche weiße Farbe zu färben, was besonders für Familien mit kleinen Kindern wichtig ist.
Lieferumfang:100 Tüchern
Material:100% Bambus
Größe:330 mm x 300 mm





Verpackung:Braunes Papier im Altpapier Müll entsorgen.




",biomondi in der Küche,,2.82,fixed,1,"336:2.82, 672:2.80, 1008:2.77, 1344:2.75, 1680:2.73, 2016:2.70, 2352:2.68, 2688:2.66, 3024:2.63, 3360:2.59, ",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/Servietten.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Servietten.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Servietten_2.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Servietten_3.png?v=1647256263, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/884019b12edd4cd3b392696151c7c660.thumbnail.0000000.jpg?v=1649373152",,,,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,2-lagig / 100 Blatt,Farben,1,1,Natur
6,7,variable,100566010000 ,,Bambus-Besteck- Set (18er),Versandeinheit,Paket,1,1,,0,"Bambus-Besteck- Set (18er) 6xGabel, 6xLöffel, 6xMesser , Anzahl 
pro Verp. = 18 Stück , Umverpackung/ VE = braune Tüte 20 Stück , VE je Karton = 18 , Kartons auf Palette
 = 12 ","Wenn Sie zu Hause oder bei einem Picknick essen möchten, ist dieses 18-teilige, wiederverwendbare Bambus-Besteck die perfekte Wahl. Es besteht aus 6 Gabeln, 6 Löffeln und 6 Messern, die zu 100% biologisch abbaubar und frei von BPA sind. Die Griffe sind hitzebeständig und halten Ihre Hände beim Essen kühl. Die Bambusmaterialien sind die natürliche und nachhaltige Alternative zu Plastik-, Holz- oder Edelstahlbesteck und werden mit Sicherheit die Aufmerksamkeit vieler Gäste auf sich ziehen.

Das Besteck kommt im 6er Set. 6 Messer - 6 Gabeln - 6 Löffel.



Material:100% Bambus
Größe:Länge: ca. 17 cm 






Entsorgung:Das Besteck ist biologisch abbaubar und kann im Biomüll entsorgt werden.


",biomondi in der Küche,,0.46,fixed,1,"324:0.46,648:0.44,972:0.41,1296:0.41,1620:0.40,1944:0.40,2268:0.38,2592:0.38,2916:0.37,3240:0.37,",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/bamboocutlery2.png?v=1602057934, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/bamboocutlery2.png?v=1602057934, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/bambus-einweg-besteck-1.jpg?v=1602057934",,,Bambus|Einweg|Einweggeschirr|Garten|Geschirr|Grillen|Küche|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,"6xGabel, 6xLöffel, 6xMesser",Farben,1,1,Natur
7,8,variation,100566010000-PAL ,100566010000,Bambus-Besteck- Set (18er),Versandeinheit,Palette,,1,,1,"Bambus-Besteck- Set (18er) 6xGabel, 6xLöffel, 6xMesser , Anzahl 
pro Verp. = 18 Stück , Umverpackung/ VE = braune Tüte 20 Stück , VE je Karton = 18 , Kartons auf Palette
 = 12 ","Wenn Sie zu Hause oder bei einem Picknick essen möchten, ist dieses 18-teilige, wiederverwendbare Bambus-Besteck die perfekte Wahl. Es besteht aus 6 Gabeln, 6 Löffeln und 6 Messern, die zu 100% biologisch abbaubar und frei von BPA sind. Die Griffe sind hitzebeständig und halten Ihre Hände beim Essen kühl. Die Bambusmaterialien sind die natürliche und nachhaltige Alternative zu Plastik-, Holz- oder Edelstahlbesteck und werden mit Sicherheit die Aufmerksamkeit vieler Gäste auf sich ziehen.

Das Besteck kommt im 6er Set. 6 Messer - 6 Gabeln - 6 Löffel.



Material:100% Bambus
Größe:Länge: ca. 17 cm 






Entsorgung:Das Besteck ist biologisch abbaubar und kann im Biomüll entsorgt werden.


",biomondi in der Küche,,0.36,fixed,1,"3888:0.36, 7776:0.36, 11664:0.35, 15552:0.35, 19440:0.35, 23328:0.35, 27216:0.34, 31104:0.34, 34992:0.34, 38880:0.33, ",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/bamboocutlery2.png?v=1602057934, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/bamboocutlery2.png?v=1602057934, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/bambus-einweg-besteck-1.jpg?v=1602057934",,,Bambus|Einweg|Einweggeschirr|Garten|Geschirr|Grillen|Küche|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,,,,,enthalten,1,1,"6xGabel, 6xLöffel, 6xMesser",Farben,1,1,Natur
8,9,variable,100605010000 ,,Bambus-Thermobecher,Versandeinheit,Paket,1,1,,0,"Bambus-Thermobecher 400ml (inkl. Teesieb) , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 82 , Kartons auf Palette
 = 12 ","Dieses Produkt ist nicht nur in der Alltagsküche, sondern auch auf Campingausflügen und bei Picknicks nützlich und sieht gut genug aus, um im Büro oder zu Hause verwendet zu werden. Eine umweltfreundliche Alternative zu herkömmlichen Thermobechern, zusätzlich wird dieser mit einem Teesieb geliefert!
Lieferumfang:Der Bambus Thermobecher wird inklusive Edelstahl-Teesieb geliefert.
Gebrauchshinweise:Wir empfehlen die Thermoflasche nur mit der Hand zu spülen. Der Becher ist nicht Spülmaschinen geeignet.",biomondi in der Küche,,16.31,fixed,1,"10:16.31,20:15.62,30:14.84,40:14.62,50:14.41,60:14.19,70:13.76,80:13.55,90:13.33,100:13.12,",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/Thermo.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Thermo.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Thermokanne_2.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Thermokanne.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/2021-18-0610_18_53.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/img.png?v=1648421740",,,,,taxable,1,,,,,,,,,,,Menge pro Produkt,1,1,400ml (inkl. Teesieb),,,,,Farben,1,1,Natur
9,10,variation,100605010000-PAL ,100605010000,Bambus-Thermobecher,Versandeinheit,Palette,,1,,1,"Bambus-Thermobecher 400ml (inkl. Teesieb) , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 82 , Kartons auf Palette
 = 12 ","Dieses Produkt ist nicht nur in der Alltagsküche, sondern auch auf Campingausflügen und bei Picknicks nützlich und sieht gut genug aus, um im Büro oder zu Hause verwendet zu werden. Eine umweltfreundliche Alternative zu herkömmlichen Thermobechern, zusätzlich wird dieser mit einem Teesieb geliefert!
Lieferumfang:Der Bambus Thermobecher wird inklusive Edelstahl-Teesieb geliefert.
Gebrauchshinweise:Wir empfehlen die Thermoflasche nur mit der Hand zu spülen. Der Becher ist nicht Spülmaschinen geeignet.",biomondi in der Küche,,12.90,fixed,1,"492:12.90, 984:12.79, 1476:12.69, 1968:12.58, 2460:12.47, 2952:12.36, 3444:12.26, 3936:12.15, 4428:12.04, 4920:11.83, ",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/Thermo.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Thermo.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Thermokanne_2.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/Thermokanne.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/2021-18-0610_18_53.png?v=1648421740, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/img.png?v=1648421740",,,,,taxable,1,,,,,,,,,,,Menge pro Produkt,1,1,400ml (inkl. Teesieb),,,,,Farben,1,1,Natur
10,11,variable,100562010004 ,,Bambus-Esslernschale,Versandeinheit,Paket,1,1,,0,"Bambus-Esslernschale 250ml (mit Saugnapf) , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 48 , Kartons auf Palette
 = 12 ","













Die Bambus-Esslernschale ist die natürliche, nachhaltige Alternative zu herkömmlichem Geschirr. Sie ist nachhaltig, umweltfreundlich und gleichzeitig sehr robust! Die Bambusschüssel lässt sich leicht am Tisch befestigen und bleibt an Ort und Stelle, um Ausrutschen, Verschütten und Stolpern zu vermeiden.
Lieferumfang: Eine Breischale mit Saugnapfboden und Babylöffel mit weicher Silikonspitze.
Material: 100 % Bambus. Die Schüssel sorgt für Entspannung bei jeder Mahlzeit und verzichtet vollkommen auf schädliche, chemische Zusätze. Sie ist umweltfreundlich und wird Ihnen viele Jahre treue Dienste leisten.
Gebrauchshinweise: Die Breischale aus Bambus ist nicht spülmaschinengeeignet. Die Breischale ist für heiße als auch kalte Speisen. Sie ist nicht für die Mikrowelle oder den Ofen geeignet.",biomondi in der Küche,,18.52,fixed,1,"24:18.52, 48:18.13, 72:17.62, 96:17.37, 120:17.11, 144:16.86, 168:16.35, 192:16.09, 216:15.83, 240:15.58, ",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/20220408_110947-ohneHintergrund.jpg?v=1649660471, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110904-ohneHintergrund.jpg?v=1649700472, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110925-ohneHintergrund.jpg?v=1649660466, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110947-ohneHintergrund.jpg?v=1649660471, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_111441-ohneHintergrund.png?v=1649660481",,,Bambus|Deko|Geschenke|Geschirr|Grillen|Kinder|Küche|Party|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,Menge pro Produkt,1,1,250ml (mit Saugnapf),,,,,Farben,1,1,Blau
11,12,variation,100562010004-PAL ,100562010004,Bambus-Esslernschale,Versandeinheit,Palette,,1,,1,"Bambus-Esslernschale 250ml (mit Saugnapf) , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 48 , Kartons auf Palette
 = 12 ","













Die Bambus-Esslernschale ist die natürliche, nachhaltige Alternative zu herkömmlichem Geschirr. Sie ist nachhaltig, umweltfreundlich und gleichzeitig sehr robust! Die Bambusschüssel lässt sich leicht am Tisch befestigen und bleibt an Ort und Stelle, um Ausrutschen, Verschütten und Stolpern zu vermeiden.
Lieferumfang: Eine Breischale mit Saugnapfboden und Babylöffel mit weicher Silikonspitze.
Material: 100 % Bambus. Die Schüssel sorgt für Entspannung bei jeder Mahlzeit und verzichtet vollkommen auf schädliche, chemische Zusätze. Sie ist umweltfreundlich und wird Ihnen viele Jahre treue Dienste leisten.
Gebrauchshinweise: Die Breischale aus Bambus ist nicht spülmaschinengeeignet. Die Breischale ist für heiße als auch kalte Speisen. Sie ist nicht für die Mikrowelle oder den Ofen geeignet.",biomondi in der Küche,,15.32,fixed,1,"288:15.32, 576:15.20, 864:15.07, 1152:14.94, 1440:14.81, 1728:14.69, 2016:14.56, 2304:14.43, 2592:14.30, 2880:14.05, ",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/20220408_110947-ohneHintergrund.jpg?v=1649660471, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110904-ohneHintergrund.jpg?v=1649700472, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110925-ohneHintergrund.jpg?v=1649660466, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110947-ohneHintergrund.jpg?v=1649660471, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_111441-ohneHintergrund.png?v=1649660481",,,Bambus|Deko|Geschenke|Geschirr|Grillen|Kinder|Küche|Party|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,Menge pro Produkt,1,1,250ml (mit Saugnapf),,,,,Farben,1,1,Blau
12,13,variable,100562010011 ,,Bambus-Esslernschale,Versandeinheit,Paket,1,1,,2,"Bambus-Esslernschale 250ml (mit Saugnapf) , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 48 , Kartons auf Palette
 = 12 ","













Die Bambus-Esslernschale ist die natürliche, nachhaltige Alternative zu herkömmlichem Geschirr. Sie ist nachhaltig, umweltfreundlich und gleichzeitig sehr robust! Die Bambusschüssel lässt sich leicht am Tisch befestigen und bleibt an Ort und Stelle, um Ausrutschen, Verschütten und Stolpern zu vermeiden.
Lieferumfang: Eine Breischale mit Saugnapfboden und Babylöffel mit weicher Silikonspitze.
Material: 100 % Bambus. Die Schüssel sorgt für Entspannung bei jeder Mahlzeit und verzichtet vollkommen auf schädliche, chemische Zusätze. Sie ist umweltfreundlich und wird Ihnen viele Jahre treue Dienste leisten.
Gebrauchshinweise: Die Breischale aus Bambus ist nicht spülmaschinengeeignet. Die Breischale ist für heiße als auch kalte Speisen. Sie ist nicht für die Mikrowelle oder den Ofen geeignet.",biomondi in der Küche,,18.52,fixed,1,"24:18.52, 48:18.13, 72:17.62, 96:17.37, 120:17.11, 144:16.86, 168:16.35, 192:16.09, 216:15.83, 240:15.58, ",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/20220408_110925-ohneHintergrund.jpg?v=1649660466, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110904-ohneHintergrund.jpg?v=1649700472, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110925-ohneHintergrund.jpg?v=1649660466, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110947-ohneHintergrund.jpg?v=1649660471, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_111441-ohneHintergrund.png?v=1649660481",,,Bambus|Deko|Geschenke|Geschirr|Grillen|Kinder|Küche|Party|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,Menge pro Produkt,1,1,250ml (mit Saugnapf),,,,,Farben,1,1,Orange
13,14,variation,100562010011-PAL ,100562010011,Bambus-Esslernschale,Versandeinheit,Palette,,1,,3,"Bambus-Esslernschale 250ml (mit Saugnapf) , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 48 , Kartons auf Palette
 = 12 ","













Die Bambus-Esslernschale ist die natürliche, nachhaltige Alternative zu herkömmlichem Geschirr. Sie ist nachhaltig, umweltfreundlich und gleichzeitig sehr robust! Die Bambusschüssel lässt sich leicht am Tisch befestigen und bleibt an Ort und Stelle, um Ausrutschen, Verschütten und Stolpern zu vermeiden.
Lieferumfang: Eine Breischale mit Saugnapfboden und Babylöffel mit weicher Silikonspitze.
Material: 100 % Bambus. Die Schüssel sorgt für Entspannung bei jeder Mahlzeit und verzichtet vollkommen auf schädliche, chemische Zusätze. Sie ist umweltfreundlich und wird Ihnen viele Jahre treue Dienste leisten.
Gebrauchshinweise: Die Breischale aus Bambus ist nicht spülmaschinengeeignet. Die Breischale ist für heiße als auch kalte Speisen. Sie ist nicht für die Mikrowelle oder den Ofen geeignet.",biomondi in der Küche,,15.32,fixed,1,"288:15.32, 576:15.20, 864:15.07, 1152:14.94, 1440:14.81, 1728:14.69, 2016:14.56, 2304:14.43, 2592:14.30, 2880:14.05, ",,,,,,,,1,0,visible,,"https://biomondi.de/cdn/shop/products/20220408_110925-ohneHintergrund.jpg?v=1649660466, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110904-ohneHintergrund.jpg?v=1649700472, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110925-ohneHintergrund.jpg?v=1649660466, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_110947-ohneHintergrund.jpg?v=1649660471, https://cdn.shopify.com/s/files/1/0447/8671/2736/products/20220408_111441-ohneHintergrund.png?v=1649660481",,,Bambus|Deko|Geschenke|Geschirr|Grillen|Kinder|Küche|Party|Set|Sommer|Teller,,taxable,1,,,,,,,,,,,Menge pro Produkt,1,1,250ml (mit Saugnapf),,,,,Farben,1,1,Orange
